Ticket,P/E,Description
SBER,3.52,Сбербанк - факторы роста и падения акций  Сбербанк перешел на выплату дивидендов 50% от прибыли начиная с 2020 года Сбербанк вышел в прибыль в октябре 2022 года и может выплатить дивиденды уже в 2023 году Рекордная прибыль в 2023 году и ожидаемый рекордный дивиденд. Могут платить больше 50% от чистой прибыли. Высокий ROE и высокая достаточность капитала.  Замедление кредитования в стране снижает рост кредитного портфеля и соответственно процентных доходов Сбера. Рост процентных ставок может снизить чистую процентную маржу и соответственно прибыль Сбера в следующем году. Ипотека - основа розничного кредитного портфеля. Средние сроки ипотечного кредита в среднем выросли за последние год на 10 лет - вырос риск что со временем могут начаться проблемы с выплатой.
LKOH,3.97,Лукойл - факторы роста и падения акций  Стабильно растущие дивиденды + див. политика к-я предусматривает выплату 100% скорр. свободного денежного потока на дивиденды Дивидендная доходность Лукойла может быть самой высокой в нефтяном секторе Ходят слухи о том что Лукойл может выкупить свои акции у нерезидентов с дисконтом что впоследствии может увеличить дивиденд на акцию  Есть вероятность усиления налогового нажима на нефтяной сектор в 2024 году если власти сочтут положение нефтяных компаний слишком хорошим Основные владельцы компании в преклонном возрасте - неизвестно что будет с компанией через 10-20 лет (риск смены владельцев и отношения к акционерам)
TCSG,5.34,Т-Банк  Тинькофф  ТКС - факторы роста и падения акций  История роста постоянно растущие показатели Самая высокая рентабельность среди российских банков Доля некредитного бизнеса выше 50% - диверсификация и снижение риска Могут поставить рекорд по прибыли в 2023 году Страховой бизнес хорошо растет и уже входит в топ-10 в стране.  Банк стоит дороже остальных по мультипликаторам Рост кредитного портфеля в 2022 году замедлился - соответственно рост тоже Кипрская компания под санкциями. Дивиденды пока маловероятны Качество кредитного портфеля в 2022 году снизилось и пока не восстановилось до уровней 2021 года.
GAZP,-5.01,"Газпром - факторы роста и падения акций  Могут быть заключены новые контракты на поставку газа в Китай. Сейчас 38 млрд.м3 потенциал до 130 млрд.м3. Высокие цены на газ должны продержаться как минимум до 2024 года с учетом сокращения закупок российского газа со стороны Европы Компания владеет пакетами акций в Газпромнефти Газпромбанке Сахалине-2 и  НОВАТЭКе По отчету РСБУ за 2023г. активы Газпрома выросли на 2 трл.р.  Чистая прибыль = 695 млрд.р.  Чистые Активы Газпрома 175трл.р. при рыночной капитализации 38 трл.р.  недооценка к балансовой стоимости в 4 раза!  В долгосрочном плане угрозу для бизнеса представляет бурное развитие альтернативной энергетики. Есть проект Сила Сибири-2 емкостью 50 млрд м3 и стоимостью 1.5 трлн руб В 2022 компания может начать строительство новых трубопроводов например в Индию. РОСИМУЩЕСТВО ПОВЫСИЛО НДПИ ДЛЯ ГАЗПРОМА НА 2022 НА 1.24 ТРЛН РУБ А ТАКЖЕ ПРИНЯЛО РЕШЕНИЕ НЕ ВЫПЛАЧИВАТЬ ДИВИДЕНДЫ ЗА 2021 ГОД. КОМПАНИЯ ВПЕРВЫЕ С 1998 ГОДА НЕ ЗАПЛАТИЛА ДИВИДЕНДЫ И УЖЕ ВЫПЛАТИЛА ДИВИДЕНДЫ ЗА 1П 2022 ГОДА = 51 РУБ Поставки газа в Европу в 2023 году сократятся в 3 раза относительно пиковых значений 2018/19 года. Гер. Uniper подала иск на Газпром на сумму 116 млрд евро. В случае успеха это может вычесть из цены акций Газпрома около 20 руб на акцию. В конце 2024 г. истекает контракт на транзит газа через Украину что может означать потерю 15 млрд м3 (29% европейского экспорта)"
PLZL,12.9,Полюс - факторы роста и падения акций  Себестоимость добычи у Полюса - самая низкая в мире Стратегическая отрасль поэтому вероятно что Минфин не будет трогать золотодобытчиков чтобы сохранить им и прибыльность и возможность инвестировать в добычу Сухой Лог должен добавить чуть ли не 100% текущей добычи к 2025 году на пике там будет добываться 23-35 млн унций золота  Повышения дивидендов байбэков и прочих плюшек ожидать не стоит компания начнет осваивать Сухой Лог - все деньги туда Страны G7 планируют отказаться от российского золота. Непрозрачный выкуп с премией к рыночной цене у тех кто раньше подал заявку. Долговая нагрузка после выкупа может выйти за рамки когда по див. политике должны платить дивиденды.
YNDX,24.5,Яндекс - факторы роста и падения акций  Яндекс - одна из самых быстро растущих компаний российского рынка
AFKS,-5.41,АФК Система - факторы роста и падения акций  Одна из лучших компаний в плане отношения к миноритариям стремится к прозрачной дивидендной политике как в материнской так и в дочерних компаниях. Удачная конъюнктура рынка в 2021 году позволила Системе монетизировать свои разнообразные активы вывести на биржу OZON Сегежа. до 17 сентября 2022 года действует программа выкупа акций на 7 млрд рублей В 2022 году компания может провести IPO Медси Агрохолдинга Степь и Биннофарма что будет способствовать высвобождению акционерной стоимости АФК  уровень долговой нагрузки: за вычетом гудвила и прочих нематериальных активов собственный капитал системы составляет минус! 50млрд. ₽ (на 31.12.2021) при активах 17 трл. ₽.
MTLR,2.55,Мечел - факторы роста и падения акций  Активы Мечела лучше для экспорта угля. Якутуголь (42% добычи) расположен восточнее узких мест железной дороги. Мечел каждый год сокращает долг  Большая зависимость от цен на уголь Мечел может не платить дивиденды т.к. недостаточно СЧА по РСБУ У компании огромный долг чистые активы отрицательные
OZON,-7.65,OZON  ОЗОН - факторы роста и падения акций  Продажи OZON растут очень быстрыми темпами Рынок интернет-торговли стремительно растет Вышли в плюс по EBITDA  OZON за 20 лет существования не удалось выйти на прибыль и пока лишь предстоит доказать свою способность быть прибыльной компанией Большие темпы роста рынка требуют опережающих вложений в инфраструктуру расходы и инвестиции будут тянуть компанию в убыток еще минимум несколько лет. Поскольку в текущую капитализацию заложены очень высокие ожидания роста цена акций может быть очень волатильна особенно если в какой-то момент темпы роста продаж компании упадут или замедлятся.
VTBR,2.36,ВТБ - факторы роста и падения акций  Если ВТБ закончит мутить с непрофильными активами то  RoE банка вырастет С июля банк работает в прибыль убытки остались в 2022 году Допэмиссия должна решить все проблемы с достаточностью капитала. Дальше курс на восстановление прибыли. Купленные Открытие и РНКБ вместе зарабатывали 80 млрд руб. чп в 2021 году (+23% к ЧП ВТБ в 2021 году).  При подсчете рыночной капитализации ВТБ надо учитывать 520 млрд рублей на которые были выпущены привилегированные акции в пользу Минфина и ВТБ - эти акции на рынке не торгуются но ВТБ имеет обязательство платить по ним дивиденды Выплаты по префам ВТБ существенно влияют на див. доходность обычки. Участники рынка могут опасаться что повышение процентных ставок вызовет снижение спроса на кредиты со стороны физических лиц Банк пользуется всеми послаблениями ЦБ дивидендов здесь можно ожидать годами.
SMLT,5.97,Самолет - факторы роста и падения акций  На рынке недвижимости Московской области сложился серьезный дефицит предложения - всего 1 млн м2 против 35-4 млн м2 в 2016 году. Продажи компании растут несмотря на окончание программы льготной ипотеки и рост процентных ставок На конец 2022 года Самолет - самый быстрорастущий девелопер в России Компания обещает довести объем продаж к 2024 году до 32 млн м2 что даст выручку 500+ млрд руб. Это в 8 раз больше чем выручка 2020 года.  Риск того что ипотечный спрос сильно упадет в 2023-2024 году после изменения программ льготной ипотеки и исчерпания будущего спроса за счет активных покупок в прошлых годах. Компания планировала SPO весной 2023 года при этом Free Float вырастет до 40%. У Компании высокий долг который перекрывается деньгами на эскроу счетах. По долгам начисляют проценты по эскроу нет.
NLMK,3.47,НЛМК - факторы роста и падения акций  НЛМК может показать наибольшую дивидендную доходность в долгосрочной перспективе  Дополнительные налоги съедают прибыль Компания не раскрывает отчётность Запрет ЕС на импорт стальных полуфабрикатов
ROSN,3.50,Роснефть - факторы роста и падения акций  Роснефть обладает самым большим производственным потенциалом роста среди всех российских НК Роснефть платит дивиденды 50% МСФО к 2024 «Восток Ойл» будет давать дополнительно 30 млн.т. нефти и до 100 млн т к 2030 году Восток Ойл позволит Роснефти нарастить выручку и прибыль с 2024 года - когда первая нефть пойдет через собственную инфраструктуру (в данном проекте существенные льготы и сниженные налоги)  Возможны новые крупные расточительные приобретения. Риск ввода дополнительных налогов и ввода искуственного ограничения прибыли через НДПИ
GMKN,8.23,ГМК Норникель - факторы роста и падения акций  ГМК глобально выиграла от дефицита палладия 2019-2020. Он в свою очередь сложился из-за перехода автопроизводителей с дизельных двигателей на бензиновые а также ужесточения экологических стандартов. К 2030 году спрос на никель со стороны производителей батарей для автомобилей может вырасти с 250 тыс т до более 1000 тыс т. В 2021 электромобили это всего 10% мирового потребления никеля. Стратегия компании 2030: увеличить добычу никеля и меди на 20-30%  металлы платиновой группы на 40-50% ГМК ранее платил большие дивиденды в долг (60% EBITDA)  Производство всех металлов кроме меди стагнирует много лет. Компания вытягивает только за счет роста цен и падения рубля Возможно с 2023 года автопроизводители смогут частично заменить палладий на платину в качестве катализатора в ДВС чтобы снизить дефицит палладия. CAPEX ожидается вырастет в период с 2022 по 2025 год до $4 млрд более чем в 2 раза выше чем в 2020 году В конце 2022 года истекает акционерное соглашение и дивиденды могут снизиться в 2 раза. В 2021 году 43% выручки - это палладий. В то же время спрос на палладий со временем будет ослабевать из-за роста доли электромобилей. В 2022 ожидается профицит на рынке никеля 52% продаж Норникеля шло в недружественную Европу Для производства электромобилей не требуется платина и палладий
NVTK,4.23,"НОВАТЭК - факторы роста и падения акций  Считается что у Новатэка в отличие от Газпрома намного более эффективный менеджмент Компания имеет самую низкую налоговую нагрузку в нефтегазовом секторе РФ и самую высокую прибыльность Новатэк продолжает расти НОВАТЭК планирует нарастить производство СПГ в 29–36 раза к 2030 году за счет реализации новых проектов. Арктик СПГ2 запуск 1 линии в 2023 а полная мощность в 2026г Единственная растущая компания в нефтегазовом секторе  Конкуренция на внешнем рынке газа усиливается американские сланцевики запускают массу СПГ проектов в 2024-2025 акции всегда стоят дорого премия за растущий актив который в теории может перестать расти 70% СПГ Новатэк отправляет в Европу есть санкционный риск на запрет покупки СПГ из России (в Азию везти дольше и дороже особенно когда нет навигации через Северный Морской путь (осень-весна) Не ясно как Новатэк будет вывозить СПГ с Арктик СПГ-2 после того как Совкомфлот попал под санкции США. Под вопросом 6 корейских газовозов."
HEAD,11.8,HeadHunter (Хэдхантер) - факторы роста и падения акций  Двигаются к монополии скупают активы: zarplata.ru Skillaz 11 мая 2023 одобрили BUYBACK акций который будет действовать 1 год Ранее платили 75% прибыли на дивиденды сейчас не могут т.к. зарубежная компания Монополист на рынке рекрутинга в РФ (60%) и СНГ и 3-я в мире Выручка с 2021-2023гг. растет высокими темпами +56% и в Q1 2024г. рост продолжился +550% 2024 год пока самый благоприятный для компании HeadHunter потому что наблюдается самый сильный дефицит рабочей силы а в июне 24г. индекс HeadHunter показал значение “31” - такого не было никогда в истории  Компания дорогая как и весь техно-сектор США P/E=57 (LTM 1Q2021) Дивдоходность 2021 год всего 16% в 2022-2023гг. дивидендов не выплачивали так как это кипрская компания Эффективная налоговая ставка снизилась с 235% в 1 квартале 2023 года до 25% в 1 квартале 2024 года в связи с применением льготной ставки для ИТ-компаний 0% с 1 января 2024 года - не понятно с 2025 года для HeadHunter какая будет ставка!
AFLT,3.71,Аэрофлот - факторы роста и падения акций  Результаты 2024 могут улучшиться на фоне рекордной загрузки кресел и повышения цен Компания в моменте не обслуживает лизинговые платежи перед иностранными лизингодателями
MGNT,9.59,Магнит - факторы роста и падения акций  Казначейский пакет акций Магнита составляет 334% соответственно Магнит может платить дивиденды так как будто эти акции погашены - треть дивидендов будут возвращаться обратно в компанию.  Проигрывают по всем финансовым показателям Х5: чистая прибыль EBITDA свободный денежный поток выручка. Даже долговая нагрузка относительно EBITDA выше но стоял в полтора раза дороже.
MOEX,6.20,Московская биржа - факторы роста и падения акций  Прозрачный понятный бизнес Фактический монополист (валютный денежный срочный рынки + рынок рос. облигаций) что дает чистую маржу на уровне 52% Один из немногих реальных бенефициаров в случае роста процентных ставок ЦБ РФ До 2021 года Мосбиржа стабильно выплачивала около 85% прибыли в виде дивидендов По мультипликаторам дешевле своих исторических средних  Нет драйверов роста которые могли бы привести к существенной переоценке вверх В 2023 году Мосбиржа нарушила свою дивполитику и выплатила только 30% прибыли за 2022 год в виде дивидендов. Менеджмент намекнул что в условиях неспокойного внешнего фона платить дивы 85% от прибыли будет непросто Достаточность капитала была низкой еще в феврале 2022 года и ее размер до сих пор неизвестен. Имея низкую достаточность биржа не будет платить большую долю от чистой прибыли в виде дивидендов.
TATN,4.67,Татнефть - факторы роста и падения акций  в 2022г.  Чистая прибыль выросла на 43%  выручка от переработки нефти и реализации нефтепродуктов составила 55% от общей выручки (в 2021г этот показатель был 25%) общие дивиденды за 2022г.  67р. на акцию (14% от текущей цены). ТАНЕКО (НПЗ Татнефти) - самый современный нефтеперерабатывающий завод в России который имеет максимальную глубину переработки нефти Татнефть планирует в ближайшем будущем нарастить объем переработки нефти до 100% объемов добычи - причем переработка нефти в последнее время приносит основную прибыль предприятия Компания активно развивает производство нефтехимической продукции из собственного сырья - производство шин ПЭТ упаковок и так далее.  Большая часть активов находится в Татарстане - компания не изъявляет желание серьезного расширения географии и роста активов
SBER,3.52,Сбербанк - факторы роста и падения акций  Сбербанк перешел на выплату дивидендов 50% от прибыли начиная с 2020 года Сбербанк вышел в прибыль в октябре 2022 года и может выплатить дивиденды уже в 2023 году Рекордная прибыль в 2023 году и ожидаемый рекордный дивиденд. Могут платить больше 50% от чистой прибыли. Высокий ROE и высокая достаточность капитала.  Замедление кредитования в стране снижает рост кредитного портфеля и соответственно процентных доходов Сбера. Рост процентных ставок может снизить чистую процентную маржу и соответственно прибыль Сбера в следующем году. Ипотека - основа розничного кредитного портфеля. Средние сроки ипотечного кредита в среднем выросли за последние год на 10 лет - вырос риск что со временем могут начаться проблемы с выплатой.
SNGS,0.96,Сургутнефтегаз - факторы роста и падения акций  Компания стоит дешевле чем объем наличных денег на её счетах. Правда у миноритариев пока нет шансов к тому чтобы получить доступ к этому кэшу поэтому рынок оценивает бумагу без него. Любое улучшение т.н. корпоративного управления в компании может вызвать существенную переоценку акций - акции могут вырасти более чем в 2 раза.  Не ясно кто контролирует 40% уставного капитала Сургутнефтегаза. Полная информационная закрытость и непрозрачность Сургутнефтегаз вот уже много лет платит дивиденд 060-080 руб на обыкновенную акцию
VKCO,-1.47,"ВК  VK - факторы роста и падения акций  40% выручки - игры 75% из них - продаются за рубеж Возможно IPO игрового сегмента - потенциальный драйвер Если консолидировать в результаты выручку от O2O и СП с Aliexpress то выручка MAIL будет в 2 раза выше. Если эти доли выйдут в плюс то прибыль MAIL существенно вырастет. Выручка компании продолжает уверенно расти Потенциальный драйвер - выход убыточного O2O на IPO Новая стратегия компании которая может быть опубликована в марте 2022 может сделать фокус на развитии умирающей соцсети ВК. Блокировка иностранных конкурентов в лице Meta* *Запрещена в РФ  В декабре Усманов продал свой пакет Мейл.ру 152% повесив его на другой свой актив - Мегафон. Если бы мажоритарий полагал что мейл.ру обладает существенным потенциалом роста прибыли и акций вряд ли бы он стал это делать Дмитрий Гришин распродает свои акции Mail.ru (ноябрь 2017) В 2020 году растущий бизнес О2О сформировал существенный убыток (почти -20 млрд). Основным генератором прибыли по сути является реклама в социальных сетях которая в 2020 выросла всего на 5%. O2O (СП со Сбером в которое входят такси Ситимобил каршеринг Youdrive и доставка Delivery Club) пока регулярно генерирует существенный убыток. В 1 квартале 2021 наблюдается падение месячной активной публики социальных сетей - ВК и ОК. Есть вероятность исключения акции из индекса MSCI Russia из-за падения цены и снижения капитализации В начале в 2022 в ВК пришел полностью новый менеджмент из Ростелекома: Владимир Кириенко Александр Айвазов Ирина Сиренко Степан Ковальчук Инна Походня. VK продает игровое подразделение за $642 млн"
SNGS,0.96,Сургутнефтегаз - факторы роста и падения акций  Компания стоит дешевле чем объем наличных денег на её счетах. Правда у миноритариев пока нет шансов к тому чтобы получить доступ к этому кэшу поэтому рынок оценивает бумагу без него. Любое улучшение т.н. корпоративного управления в компании может вызвать существенную переоценку акций - акции могут вырасти более чем в 2 раза.  Не ясно кто контролирует 40% уставного капитала Сургутнефтегаза. Полная информационная закрытость и непрозрачность Сургутнефтегаз вот уже много лет платит дивиденд 060-080 руб на обыкновенную акцию
CHMF,5.57,Северсталь - факторы роста и падения акций  У Северстали самая высокая степень интеграции сырьевой базы: железной руды и каменного угля близкая к 100% У компании наименьший долг из тройки Компания может первой вернуться к выплате дивидендов  Дополнительные налоги съедают прибыль
EUTR,3.39,ЕВРОТРАНС - факторы роста и падения акций
SGZH,-1.53,"Сегежа Групп - факторы роста и падения акций  Компания может выиграть в случае девальвации рубля  Компания традиционной экономики разместилась на IPO дороговато (P/E = 20) - в оценку заложены ожидания роста. Рост финпоказателей 2021 может быть временным обусловленным скачком цен на пиломатериалы Большая часть оборудования Сегежи из Финляндии - вопрос - как скажутся санкции Высокая долговая нагрузка Net Debt/EBITDA: 3.5х с 10 августа'22 экспорт лесопромышленной продукции в ЕС был полностью запрещен (28% выручки всей группы шло из EC в 2021) + С конца июля в США начали действовать 35%-пошлины на импорт РФ пиломатериалов"
TRNFP,0.67,Транснефть - факторы роста и падения акций  РФПИ считает целесообразным конвертировать префы Транснефти в обыкновенные акции. Основные CAPEXы остались позади Огромный CAPEX позади - FCF положительный долга нет -> компания может нарастить выплату дивидендов в ближайшем будущем  Сечин может лоббировать более низкие тарифы на прокачку Северная ветка трубопровода Дружба не работает Восток Ойл будет экспортировать нефть через собственную инфраструктуру Роснефти - есть риск потери существенной части выручки и прибыли с 24-27 года
IRAO,2.65,ИнтерРАО - факторы роста и падения акций  Возможно гашение казначейского пакета 294% = увеличение ценности акций у инвесторов рост курса Главное что может привести к переоценке - это изменение дивидендной политики (но это вряд ли так как триллионная программа капзатрат на 10 лет) до 2025 г. выручка вырастет в 15 раза EBITDA – в 161 раза Имея чистую денежную позицию 340 млрд (1кв 2021 г.) на 30.06.23г. уже 452 млрд.руб. компания одна из немногих кто выигрывает от роста процентных ставок ЦБ РФ Ожидаем что даже с высоким Capex у компании не изменится чистый долг т.е. денег от операционной деятельности будет достаточно  низкие дивиденды. Менеджмент не хочет менять див. политику (25% прибыли) Менеджмент ИнтерРАО (20.07.2021) открыто заявляет: нас не беспокоит текущая капитализация мы ориентированы на 2035 год В 2021 Купили активы на десятки миллиардов существенно дороже балансовой стоимости покупку занесли в гудвилл который может быть списан со временем и пойдет со знаком минус в отчет о прибылях. Не представили отчеты за 2021 и 2022гг. по МСФО Экспорт электроэнергии с мая 2022г. в Европу прекращен а это самые рентабельные рынки у компании и в 1П2023г. сегмент экспорта убыточен! Менеджмент не желает гасить казначейские акции компания пока не работает в интересах акционеров Высокие капитальные расходы до 2028 года (одно лишь строительство Новоленской ТЭС оценивается в 257 млрд.руб.) Ожидаю за 2023 год capex - 70 млрд.руб
MTSS,5.40,МТС - факторы роста и падения акций  Контора платит максимально возможные дивиденды. Эти акции очень похожи на облигацию: будут расти при снижении ставок ЦБ РФ но их привлекательность будет снижаться при росте ставок. Продажа Башенной Компании может ощутимо снизить долг и добавить кэш на счета компании. Суммарно сделка может улучшить баланс на 100-150 млрд рублей если состоится. У компании выкуплено 8% собственных акций на дочернюю структуру до конца 09.2024г. могли увеличить до 11% В 2025 году МТС может объявить о выводе на IPO новых компаний экосистемы IPO МТС Банка принесло 11 млрд руб  Внедрение 5G это очень большой CAPEX. Эти акции очень похожи на облигацию: будут расти при снижении ставок ЦБ РФ но их привлекательность будет снижаться при росте ставок. Все новые бизнесы экосистемы МТС находится в зоне очень высокой конкуренции. Новые бизнесы и построение экосистемы требуют затрат. Доля финансовых расходов в 1Н2024г. превысила 61% от операционной прибыли
MAGN,3.66,ММК - факторы роста и падения акций  ММК остается фундаментально наиболее дешевой компанией из тройки  Компания имеет низкую интеграцию в коксующийся уголь и железную руду что плохо сказывается на показателях маржинальности когда цены на сырье растут
ALRS,4.24,АЛРОСА - факторы роста и падения акций  Алроса ожидает снижения добычи алмазов в мире в течение следующих 7 лет. Эксперты говорят об исчерпании запасов в мире с 2025 года. Дефицит алмазов на рынке в 2022 году (даже без учета устранения Алросы с рынка при помощи санкций) В 2022 году в США ожидается рекордное число свадеб за последние 40 лет Алроса производит как правило мелкие камни происхождение которых сложнее отследить С 2023г возобновились отчетности по продажам и добыче алмазов выплата дивидендов.  Монопродуктовая компания которая никак не развивается не диверсифицируется и целиком зависит от мировой алмазной конъюнктуры Крупнейшие ювелирные сети мира отказались от бриллиантов из российских алмазов Компания под санкциями. С 2022 года не отчитывается по продажам. Есть большие проблемы со сбытом. Крупнейшая в мире платформа по торговле бриллиантами RapNet исключила из своей торговой системы российские бриллианты которые составляли 1/3 оборота. США: запрет на импорт российских алмазов и бриллиантов. (Исключение для бриллиантов которые сделаны из российских алмазов в других странах например Индии)
RNFT,0.80,Русснефть - факторы роста и падения акций  Гуцериев в 2019 обещал что Русснефть начнет платить дивиденды после 2022 года когда сократит долг/EBITDA с 2 до 1.  Контора растит долг дивиденды не платит Часть прибыли Русснефть платит на привилегированные акции которые держит только банк Траст (1/4 уставного капитала) Акции Русснефти в залоге у ВТБ Плохой уровень раскрытия информации Аудитор отчетности - компания Интерком-Аудит не внушает доверия У ВТБ есть форвард на продажу 21% префов самой Русснефти что потенциально может оттянуть кучу кэша из компании Добыча снижается: в 2013 году компания добывала 113 млн т нефти а в 2022 году добыча прогнозируется на уровне 67 млн т Низкий P/E надо корректировать на размер дивидендов по префам (вычитать из прибыли). Фактический P/E получится выше. Вывод денег из компании через займы. Плюс обесценивание финансовых вложений (см. отчет за 2020 год списано - 30 млрд руб Долгие годы компания участвовала в схемах мажоритария: брали кредиты на Русснефть выводили деньги из компании через займы которые теперь вряд ли вернутся в компанию. Неясный момент: на момент IPO Гуцериев называл доказанные запасы 600 млн т а сейчас они почему-то сократились до около 200 млн т.
POSI,28.9,Группа Позитив - факторы роста и падения акций  Сектор кибербеза растет темпами выше 30%. Результаты компании опережают рынок и растут темпами близкими к 100% Рентабельность растет  Рост показателей уже заложен в оценку. Компания не дешевая Планируются SPO и возможна допэмиссия
SIBN,4.24,Газпромнефть - факторы роста и падения акций  Один из самых качественных  нефтяников в плане бизнеса - большая доля современной переработки + современные месторождения с низкой себестоимостью добычи Газпром нуждается в дивидендах от Газпромнефти -> дивидендный поток будет расти со временем  Free Float всего 432% от уставного капитала Добыча и выручка могут пострадать в 1П2023 из-за введения нефтяного эмбарго а также эмбарго на экспорт нефтепродуктов с 5.02.2023 Из-за низкого free float всегда есть риск принудительного выкупа от Газпрома и делистинга с биржи
MTLR,2.55,Мечел - факторы роста и падения акций  Активы Мечела лучше для экспорта угля. Якутуголь (42% добычи) расположен восточнее узких мест железной дороги. Мечел каждый год сокращает долг  Большая зависимость от цен на уголь Мечел может не платить дивиденды т.к. недостаточно СЧА по РСБУ У компании огромный долг чистые активы отрицательные
PIKK,7.43,ПИК СЗ - факторы роста и падения акций  Возможен spin-off и IPO новых технологических дочерних структур Kvarta (2022-2023 годы) и Units (2023-2024 годы).  ЧИСТАЯ ПРИБЫЛЬ КОМПАНИИ 2020-2021 ЗАВЫШЕНА ИЗ-ЗА НАЛИЧИЯ ФОРВАРДА С ВТБ НА 110 МЛН АКЦИЙ КОТОРЫЙ ДОРОЖАЕТ ПО МЕРЕ РОСТА АКЦИЙ И ПРИНОСИТ БОЛЬШУЮ ПРИБЫЛЬ ОТ ПЕРЕОЦЕНКИ. Есть непроверенная информация что после марта 22 года Гордеев получил гражданство Южной Кореи У компании совершенно запущен раздел &quot;Акционерам&quot; на сайте. И это уже 4 года!!!
UGLD,13.8,Южуралзолото  ЮГК - факторы роста и падения акций  компания планирует удвоить добычу золота к 2028 году  Главный акционер г-н Струков платил сам себе зарплату в миллиарды рублей  неизвестно продолжится ли такая практика после IPO Суд 10 сентября начнет рассматривать иски к ЮГК о вреде экологии на 46 млрд рублей Ростехнадзор ограничил добычу на четырёх активах Южуралзолота. Компания не выполнила свой прогноз добычи который давала перед IPO
UWGN,6.10,ОВК - факторы роста и падения акций   Компания кинула владельцев облигаций обанкротив ОВК Финанс списав облигаций 31 млрд. Компания никогда не была стабильно прибыльной в основном убытки Размыли капитал в 2023 году в 29 раз по цене акции 93 руб без особой надобности
FLOT,3.02,Совкомфлот - факторы роста и падения акций  Среднее значение стоимости фрахта за 20 лет = $26400. Сокращение заказов на новые суда в мире и очень низкая цена фрахта (<$10000 в 1 кв.2021) может в перспективе повысить тариф Больше половины выручки приходится на т.н.индустриальный сегмент ставки фрахта которого не зависят от рыночных цен а контрактуются на длительный период под определенного заказчика. Контракты на 25 лет текущий объем контрактов $24млрд. Ожидается что доля сегмента к 2025 году составит 70% Ожидается рост существенный законтрактованной выручки с 2023 года. В 2023 году ставки фрахта танкеров Aframax остаются на уровне около $50к в день что существенно выше средних значений и позволяет генерировать высокую прибыль и денежные потоки (скорр. прибыль на акцию в 1П составила 18 руб а потенциальный дивиденд за полугодие = 9 руб на акцию)  У компании большая материальная капитальная база (суда) и как следствие высокая амортизация Рынок в 2023 году может заложить в оценку высокие ставки фрахта которые в будущем когда-то нормализуются и результаты резко упадут. Если СВО закончится то для перевозки станет доступно больше танкеров акции Совкомфлота могут упасть до 60-70 руб
